group,sensitivity,specificity,group_type,boot_id
Other Hispanic,0.4418604651162791,0.9578947368421052,race,1925
Other Race - Including Multi-Racial,0.5806451612903226,0.8431372549019608,race,1925
Above 4x poverty line,0.5166666666666667,0.9735849056603774,income,1925
Below poverty line,0.5666666666666667,0.8742138364779874,income,1925
Middle (2-4x),0.4647058823529412,0.9351620947630923,income,1925
Near poverty (1-2x),0.6293706293706294,0.8911290322580645,income,1925
Mexican American,0.3770491803278688,0.9266666666666666,race,1926
Non-Hispanic Asian,0.28125,0.9789473684210527,race,1926
Non-Hispanic Black,NA,0.9212598425196851,race,1926
Non-Hispanic White,0.583756345177665,0.8618618618618619,race,1926
Other Hispanic,0.6511627906976745,0.9157894736842105,race,1926
Other Race - Including Multi-Racial,0.4838709677419355,0.9215686274509803,race,1926
Above 4x poverty line,0.36231884057971014,0.9765625,income,1926
Below poverty line,NA,0.832258064516129,income,1926
Middle (2-4x),0.5454545454545454,0.90801886792452835,income,1926
Near poverty (1-2x),0.625,0.907563025210084,income,1926
Mexican American,0.5081967213114754,0.8866666666666667,race,1927
Non-Hispanic Asian,0.21875,0.9526315789473684,race,1927
Non-Hispanic Black,0.5454545454545454,0.9094488188976378,race,1927
Non-Hispanic White,0.5939086294416244,0.8948948948948949,race,1927
Other Hispanic,0.5813953488372093,0.9157894736842105,race,1927
Other Race - Including Multi-Racial,0.5483870967741935,0.9411764705882353,race,1927
Above 4x poverty line,0.3783783783783784,0.9785714285714285,income,1927
Below poverty line,0.5700934579439252,0.8193548387096774,income,1927
Middle (2-4x),0.5394736842105263,0.9049881235154394,income,1927
Near poverty (1-2x),0.6153846153846154,0.9032258064516129,income,1927
Mexican American,0.39344262295081966,0.9533333333333334,race,1928
Non-Hispanic Asian,0.3125,0.9631578947368421,race,1928
Non-Hispanic Black,0.5353535353535354,0.9409448818897638,race,1928
Non-Hispanic White,0.649746192893401,0.933933933933934,race,1928
Other Hispanic,0.5348837209302325,0.9578947368421052,race,1928
Other Race - Including Multi-Racial,0.6129032258064516,0.8823529411764706,race,1928
Above 4x poverty line,0.41379310344827586,0.9887640449438202,income,1928
Below poverty line,0.5833333333333334,0.8875,income,1928
Middle (2-4x),0.5286624203821656,0.9427860696517413,income,1928
Near poverty (1-2x),0.618421052631579,0.930327868852459,income,1928
Mexican American,0.3770491803278688,0.94,race,1929
Non-Hispanic Asian,0.40625,0.9736842105263158,race,1929
Non-Hispanic Black,0.6767676767676768,0.9251968503937008,race,1929
Non-Hispanic White,0.5532994923857868,0.9069069069069069,race,1929
Other Hispanic,0.5116279069767442,0.9789473684210527,race,1929
Other Race - Including Multi-Racial,0.45161290322580644,0.9215686274509803,race,1929
Above 4x poverty line,0.484375,0.9823943661971831,income,1929
Below poverty line,0.6020408163265306,0.9130434782608695,income,1929
Middle (2-4x),0.5119047619047619,0.9205128205128205,income,1929
Near poverty (1-2x),0.5413533834586466,0.9157088122605364,income,1929
Mexican American,0.4262295081967213,0.9466666666666667,race,1930
Non-Hispanic Asian,0.3125,0.9789473684210527,race,1930
Non-Hispanic Black,0.5757575757575758,0.9448818897637795,race,1930
Non-Hispanic White,0.5989847715736041,0.8828828828828829,race,1930
Other Hispanic,0.7441860465116279,0.968421052631579,race,1930
Other Race - Including Multi-Racial,0.6129032258064516,0.9215686274509803,race,1930
Above 4x poverty line,0.4264705882352941,0.9861111111111112,income,1930
Below poverty line,0.5876288659793815,0.8766233766233766,income,1930
Middle (2-4x),0.5297619047619048,0.9300518134715026,income,1930
Near poverty (1-2x),0.6692307692307692,0.9102040816326531,income,1930
Mexican American,0.3114754098360656,0.8866666666666667,race,1931
Non-Hispanic Asian,0.28125,0.968421052631579,race,1931
Non-Hispanic Black,0.5555555555555556,0.952755905511811,race,1931
Non-Hispanic White,0.5736040609137056,0.9069069069069069,race,1931
Other Hispanic,0.5116279069767442,0.9052631578947369,race,1931
Other Race - Including Multi-Racial,0.4838709677419355,0.9215686274509803,race,1931
Above 4x poverty line,0.34782608695652173,0.978021978021978,income,1931
Below poverty line,0.57,0.8285714285714286,income,1931
Middle (2-4x),0.4367816091954023,0.9391100702576113,income,1931
Near poverty (1-2x),0.6333333333333333,0.9012875536480687,income,1931
Mexican American,0.4262295081967213,0.9466666666666667,race,1932
Non-Hispanic Asian,0.21875,0.9578947368421052,race,1932
Non-Hispanic Black,0.5555555555555556,0.9409448818897638,race,1932
Non-Hispanic White,0.5482233502538071,0.9159159159159159,race,1932
Other Hispanic,0.5581395348837209,0.8842105263157894,race,1932
Other Race - Including Multi-Racial,0.4838709677419355,0.9411764705882353,race,1932
Above 4x poverty line,0.34375,0.9759036144578314,income,1932
Below poverty line,0.625,0.9144736842105263,income,1932
Middle (2-4x),0.5093167701863354,0.9220489977728286,income,1932
Near poverty (1-2x),0.4925373134328358,0.9147982062780269,income,1932
Mexican American,0.3770491803278688,0.94,race,1933
Non-Hispanic Asian,0.375,0.9368421052631579,race,1933
Non-Hispanic Black,0.5353535353535354,0.9645669291338582,race,1933
Non-Hispanic White,0.5532994923857868,0.9129129129129129,race,1933
Other Hispanic,0.5348837209302325,0.968421052631579,race,1933
Other Race - Including Multi-Racial,0.3870967741935484,0.9803921568627451,race,1933
Above 4x poverty line,0.38596491228070173,0.9891696750902527,income,1933
Below poverty line,0.5929203539823009,0.9119496855345912,income,1933
Middle (2-4x),0.42038216560509556,0.9385749385749386,income,1933
