group,sensitivity,group_type,boot_id
Other Race - Including Multi-Racial,0.6031746031746031,race,2029
Above 4x poverty line,0.3790849673202614,income,2029
Below poverty line,0.5722713864306784,income,2029
Middle (2-4x),0.46534653465346537,income,2029
Near poverty (1-2x),0.5788113695090439,income,2029
Mexican American,0.43,race,2030
Non-Hispanic Asian,0.25925925925925924,race,2030
Non-Hispanic Black,0.5155038759689923,race,2030
Non-Hispanic White,0.5083487940630798,race,2030
Other Hispanic,0.5704225352112676,race,2030
Other Race - Including Multi-Racial,0.5873015873015873,race,2030
Above 4x poverty line,0.3391812865497076,income,2030
Below poverty line,0.5632911392405063,income,2030
Middle (2-4x),0.4730392156862745,income,2030
Near poverty (1-2x),0.5231958762886598,income,2030
Mexican American,0.375,race,2031
Non-Hispanic Asian,0.345679012345679,race,2031
Non-Hispanic Black,0.5503875968992248,race,2031
Non-Hispanic White,0.5584415584415584,race,2031
Other Hispanic,0.5211267605633803,race,2031
Other Race - Including Multi-Racial,0.5079365079365079,race,2031
Above 4x poverty line,0.31137724550898205,income,2031
Below poverty line,0.5789473684210527,income,2031
Middle (2-4x),0.48894348894348894,income,2031
Near poverty (1-2x),0.5544041450777202,income,2031
Mexican American,0.445,race,2032
Non-Hispanic Asian,0.3333333333333333,race,2032
Non-Hispanic Black,0.5193798449612403,race,2032
Non-Hispanic White,0.5157699443413729,race,2032
Other Hispanic,0.5704225352112676,race,2032
Other Race - Including Multi-Racial,0.5873015873015873,race,2032
Above 4x poverty line,0.27607361963190186,income,2032
Below poverty line,0.5859154929577465,income,2032
Middle (2-4x),0.4758269720101781,income,2032
Near poverty (1-2x),0.553763440860215,income,2032
Mexican American,0.42,race,2033
Non-Hispanic Asian,0.37037037037037035,race,2033
Non-Hispanic Black,0.5697674418604651,race,2033
Non-Hispanic White,0.5547309833024119,race,2033
Other Hispanic,0.5633802816901409,race,2033
Other Race - Including Multi-Racial,0.5396825396825397,race,2033
Above 4x poverty line,0.28859060402684567,income,2033
Below poverty line,0.6358695652173914,income,2033
Middle (2-4x),0.4899497487437186,income,2033
Near poverty (1-2x),0.5489130434782609,income,2033
Mexican American,0.47,race,2034
Non-Hispanic Asian,0.3333333333333333,race,2034
Non-Hispanic Black,0.6007751937984496,race,2034
Non-Hispanic White,0.5398886827458256,race,2034
Other Hispanic,0.5492957746478874,race,2034
Other Race - Including Multi-Racial,0.5238095238095238,race,2034
Above 4x poverty line,0.3764705882352941,income,2034
Below poverty line,0.6280487804878049,income,2034
Middle (2-4x),0.47368421052631576,income,2034
Near poverty (1-2x),0.5673575129533679,income,2034
Mexican American,0.535,race,2035
Non-Hispanic Asian,0.41975308641975306,race,2035
Non-Hispanic Black,0.5426356589147286,race,2035
Non-Hispanic White,0.5602968460111317,race,2035
Other Hispanic,0.5422535211267606,race,2035
Other Race - Including Multi-Racial,0.5555555555555556,race,2035
Above 4x poverty line,0.30666666666666664,income,2035
Below poverty line,0.6260869565217392,income,2035
Middle (2-4x),0.5051282051282051,income,2035
Near poverty (1-2x),0.592964824120603,income,2035
Mexican American,0.44,race,2036
Non-Hispanic Asian,0.2716049382716049,race,2036
Non-Hispanic Black,0.5581395348837209,race,2036
Non-Hispanic White,0.5547309833024119,race,2036
Other Hispanic,0.5633802816901409,race,2036
Other Race - Including Multi-Racial,0.5396825396825397,race,2036
Above 4x poverty line,0.2919254658385093,income,2036
Below poverty line,0.5975,income,2036
Middle (2-4x),0.4745762711864407,income,2036
Near poverty (1-2x),0.5788043478260869,income,2036
Mexican American,0.47,race,2037
Non-Hispanic Asian,0.3333333333333333,race,2037
Non-Hispanic Black,0.5348837209302325,race,2037
Non-Hispanic White,0.5306122448979592,race,2037
Other Hispanic,0.5633802816901409,race,2037
Other Race - Including Multi-Racial,0.6190476190476191,race,2037
Above 4x poverty line,0.32903225806451614,income,2037
Below poverty line,0.60932944606414,income,2037
Middle (2-4x),0.4585365853658537,income,2037
Near poverty (1-2x),0.576,income,2037
Mexican American,0.44,race,2038
Non-Hispanic Asian,0.2839506172839506,race,2038
Non-Hispanic Black,0.5542635658914729,race,2038
Non-Hispanic White,0.5640074211502782,race,2038
Other Hispanic,0.47183098591549294,race,2038
Other Race - Including Multi-Racial,0.5238095238095238,race,2038
Above 4x poverty line,0.375,income,2038
Below poverty line,0.603399433427762,income,2038
Middle (2-4x),0.4322916666666667,income,2038
Near poverty (1-2x),0.5634517766497462,income,2038
Mexican American,0.43,race,2039
Non-Hispanic Asian,0.345679012345679,race,2039
Non-Hispanic Black,0.5503875968992248,race,2039
Non-Hispanic White,0.5324675324675324,race,2039
Other Hispanic,0.528169014084507,race,2039
Other Race - Including Multi-Racial,0.42857142857142855,race,2039
Above 4x poverty line,0.36627906976744184,income,2039
Below poverty line,0.5748502994011976,income,2039
Middle (2-4x),0.4552238805970149,income,2039
Near poverty (1-2x),0.552,income,2039
Mexican American,0.435,race,2040
Non-Hispanic Asian,0.3333333333333333,race,2040
Non-Hispanic Black,0.5542635658914729,race,2040
Non-Hispanic White,0.5454545454545454,race,2040
Other Hispanic,0.4788732394366197,race,2040
Other Race - Including Multi-Racial,0.5079365079365079,race,2040
Above 4x poverty line,0.3248407643312102,income,2040
Below poverty line,0.5314285714285715,income,2040
Middle (2-4x),0.506426735218509,income,2040
Near poverty (1-2x),0.5607235142118863,income,2040
Mexican American,0.48,race,2041
Non-Hispanic Asian,0.30864197530864196,race,2041
Non-Hispanic Black,0.5310077519379846,race,2041
Non-Hispanic White,0.5269016697588126,race,2041
Other Hispanic,0.4788732394366197,race,2041
Other Race - Including Multi-Racial,0.6349206349206349,race,2041
Above 4x poverty line,0.30625,income,2041
Below poverty line,0.5807365439093485,income,2041
Middle (2-4x),0.47804878048780486,income,2041
Near poverty (1-2x),0.5555555555555556,income,2041
Mexican American,0.44,race,2042
Non-Hispanic Asian,0.3333333333333333,race,2042
Non-Hispanic Black,0.47674418604651164,race,2042
Non-Hispanic White,0.5306122448979592,race,2042
Other Hispanic,0.4788732394366197,race,2042
Other Race - Including Multi-Racial,0.6031746031746031,race,2042
Above 4x poverty line,0.3,income,2042
Below poverty line,0.5426136363636364,income,2042
Middle (2-4x),0.5061728395061729,income,2042
Near poverty (1-2x),0.49740932642487046,income,2042
Mexican American,0.42,race,2043
Non-Hispanic Asian,0.37037037037037035,race,2043
Non-Hispanic Black,0.6007751937984496,race,2043
Non-Hispanic White,0.5139146567717996,race,2043
Other Hispanic,0.49295774647887325,race,2043
Other Race - Including Multi-Racial,0.5238095238095238,race,2043
Above 4x poverty line,0.3333333333333333,income,2043
Below poverty line,0.5632183908045977,income,2043
Middle (2-4x),0.4701298701298701,income,2043
Near poverty (1-2x),0.5601023017902813,income,2043
Mexican American,0.485,race,2044
Non-Hispanic Asian,0.2222222222222222,race,2044
Non-Hispanic Black,0.5658914728682171,race,2044
Non-Hispanic White,0.5565862708719852,race,2044
Other Hispanic,0.49295774647887325,race,2044
Other Race - Including Multi-Racial,0.6190476190476191,race,2044
Above 4x poverty line,0.313953488372093,income,2044
Below poverty line,0.5969696969696969,income,2044
Middle (2-4x),0.5050761421319797,income,2044
Near poverty (1-2x),0.5684754521963824,income,2044
Mexican American,0.505,race,2045
Non-Hispanic Asian,0.38271604938271603,race,2045
Non-Hispanic Black,0.5503875968992248,race,2045
Non-Hispanic White,0.5157699443413729,race,2045
Other Hispanic,0.5211267605633803,race,2045
Other Race - Including Multi-Racial,0.49206349206349204,race,2045
Above 4x poverty line,0.36645962732919257,income,2045
Below poverty line,0.56657223796034,income,2045
Middle (2-4x),0.46564885496183206,income,2045
Near poverty (1-2x),0.5718085106382979,income,2045
Mexican American,0.535,race,2046
Non-Hispanic Asian,0.30864197530864196,race,2046
Non-Hispanic Black,0.5503875968992248,race,2046
Non-Hispanic White,0.49907235621521334,race,2046
Other Hispanic,0.528169014084507,race,2046
Other Race - Including Multi-Racial,0.5555555555555556,race,2046
Above 4x poverty line,0.3592814371257485,income,2046
Below poverty line,0.5898203592814372,income,2046
Middle (2-4x),0.48175182481751827,income,2046
Near poverty (1-2x),0.5336927223719676,income,2046
Mexican American,0.4,race,2047
Non-Hispanic Asian,0.2345679012345679,race,2047
Non-Hispanic Black,0.5155038759689923,race,2047
Non-Hispanic White,0.5306122448979592,race,2047
Other Hispanic,0.5704225352112676,race,2047
Other Race - Including Multi-Racial,0.6507936507936508,race,2047
Above 4x poverty line,0.3231707317073171,income,2047
Below poverty line,0.5702005730659025,income,2047
Middle (2-4x),0.45792079207920794,income,2047
Near poverty (1-2x),0.5546448087431693,income,2047
Mexican American,0.475,race,2048
Non-Hispanic Asian,0.3950617283950617,race,2048
Non-Hispanic Black,0.5930232558139535,race,2048
Non-Hispanic White,0.5324675324675324,race,2048
Other Hispanic,0.5211267605633803,race,2048
Other Race - Including Multi-Racial,0.5396825396825397,race,2048
Above 4x poverty line,0.28378378378378377,income,2048
Below poverty line,0.5767045454545454,income,2048
Middle (2-4x),0.5276381909547738,income,2048
Near poverty (1-2x),0.5714285714285714,income,2048
Mexican American,0.48,race,2049
Non-Hispanic Asian,0.3333333333333333,race,2049
Non-Hispanic Black,0.5077519379844961,race,2049
Non-Hispanic White,0.5194805194805194,race,2049
Other Hispanic,0.49295774647887325,race,2049
Other Race - Including Multi-Racial,0.6349206349206349,race,2049
Above 4x poverty line,0.3181818181818182,income,2049
Below poverty line,0.5692771084337349,income,2049
Middle (2-4x),0.48320413436692505,income,2049
Near poverty (1-2x),0.5463917525773195,income,2049
Mexican American,0.43,race,2050
Non-Hispanic Asian,0.3950617283950617,race,2050
Non-Hispanic Black,0.5658914728682171,race,2050
Non-Hispanic White,0.5602968460111317,race,2050
Other Hispanic,0.5492957746478874,race,2050
Other Race - Including Multi-Racial,0.5555555555555556,race,2050
Above 4x poverty line,0.37058823529411766,income,2050
Below poverty line,0.6169014084507042,income,2050
Middle (2-4x),0.4775,income,2050
Near poverty (1-2x),0.5754189944134078,income,2050
Mexican American,0.43,race,2051
Non-Hispanic Asian,0.3950617283950617,race,2051
Non-Hispanic Black,0.5387596899224806,race,2051
Non-Hispanic White,0.536178107606679,race,2051
Other Hispanic,0.528169014084507,race,2051
Other Race - Including Multi-Racial,0.5079365079365079,race,2051
Above 4x poverty line,0.31788079470198677,income,2051
Below poverty line,0.5932203389830508,income,2051
Middle (2-4x),0.4811083123425693,income,2051
Near poverty (1-2x),0.5354330708661418,income,2051
Mexican American,0.44,race,2052
Non-Hispanic Asian,0.38271604938271603,race,2052
Non-Hispanic Black,0.5465116279069767,race,2052
Non-Hispanic White,0.5435992578849722,race,2052
Other Hispanic,0.5422535211267606,race,2052
Other Race - Including Multi-Racial,0.6031746031746031,race,2052
Above 4x poverty line,0.3727810650887574,income,2052
Below poverty line,0.5806451612903226,income,2052
Middle (2-4x),0.48031496062992124,income,2052
Near poverty (1-2x),0.5714285714285714,income,2052
Mexican American,0.49,race,2053
Non-Hispanic Asian,0.345679012345679,race,2053
Non-Hispanic Black,0.5465116279069767,race,2053
Non-Hispanic White,0.5231910946196661,race,2053
Other Hispanic,0.6056338028169014,race,2053
Other Race - Including Multi-Racial,0.5396825396825397,race,2053
Above 4x poverty line,0.3258426966292135,income,2053
Below poverty line,0.5797101449275363,income,2053
Middle (2-4x),0.5142857142857142,income,2053
Near poverty (1-2x),0.568,income,2053
Mexican American,0.43,race,2054
Non-Hispanic Asian,0.4567901234567901,race,2054
Non-Hispanic Black,0.5116279069767442,race,2054
Non-Hispanic White,0.5547309833024119,race,2054
Other Hispanic,0.528169014084507,race,2054
Other Race - Including Multi-Racial,0.5396825396825397,race,2054
Above 4x poverty line,0.3878787878787879,income,2054
Below poverty line,0.5781710914454278,income,2054
Middle (2-4x),0.4884318766066838,income,2054
Near poverty (1-2x),0.5461538461538461,income,2054
Mexican American,0.505,race,2055
Non-Hispanic Asian,0.35802469135802467,race,2055
Non-Hispanic Black,0.5891472868217055,race,2055
Non-Hispanic White,0.5417439703153989,race,2055
Other Hispanic,0.5563380281690141,race,2055
Other Race - Including Multi-Racial,0.5238095238095238,race,2055
Above 4x poverty line,0.36,income,2055
Below poverty line,0.5803108808290155,income,2055
Middle (2-4x),0.5336927223719676,income,2055
Near poverty (1-2x),0.5726495726495726,income,2055
Mexican American,0.395,race,2056
Non-Hispanic Asian,0.2716049382716049,race,2056
Non-Hispanic Black,0.5116279069767442,race,2056
Non-Hispanic White,0.536178107606679,race,2056
Other Hispanic,0.5563380281690141,race,2056
Other Race - Including Multi-Racial,0.49206349206349204,race,2056
Above 4x poverty line,0.23776223776223776,income,2056
Below poverty line,0.5924855491329479,income,2056
Middle (2-4x),0.45925925925925926,income,2056
Near poverty (1-2x),0.532133676092545,income,2056
Mexican American,0.435,race,2057
Non-Hispanic Asian,0.3333333333333333,race,2057
Non-Hispanic Black,0.562015503875969,race,2057
Non-Hispanic White,0.5269016697588126,race,2057
Other Hispanic,0.5140845070422535,race,2057
Other Race - Including Multi-Racial,0.6349206349206349,race,2057
Above 4x poverty line,0.3197278911564626,income,2057
Below poverty line,0.6035502958579881,income,2057
Middle (2-4x),0.47911547911547914,income,2057
Near poverty (1-2x),0.5370843989769821,income,2057
Mexican American,0.49,race,2058
Non-Hispanic Asian,0.35802469135802467,race,2058
Non-Hispanic Black,0.5387596899224806,race,2058
Non-Hispanic White,0.5454545454545454,race,2058
Other Hispanic,0.5774647887323944,race,2058
Other Race - Including Multi-Racial,0.6031746031746031,race,2058
Above 4x poverty line,0.32051282051282054,income,2058
Below poverty line,0.6120689655172413,income,2058
Middle (2-4x),0.4859335038363171,income,2058
Near poverty (1-2x),0.5850515463917526,income,2058
Mexican American,0.46,race,2059
Non-Hispanic Asian,0.30864197530864196,race,2059
Non-Hispanic Black,0.5736434108527132,race,2059
Non-Hispanic White,0.5398886827458256,race,2059
Other Hispanic,0.5985915492957746,race,2059
Other Race - Including Multi-Racial,0.5079365079365079,race,2059
Above 4x poverty line,0.3416149068322981,income,2059
Below poverty line,0.6126126126126126,income,2059
Middle (2-4x),0.49625935162094764,income,2059
Near poverty (1-2x),0.5541237113402062,income,2059
Mexican American,0.44,race,2060
Non-Hispanic Asian,0.4074074074074074,race,2060
Non-Hispanic Black,0.5581395348837209,race,2060
Non-Hispanic White,0.5565862708719852,race,2060
Other Hispanic,0.5211267605633803,race,2060
Other Race - Including Multi-Racial,0.5238095238095238,race,2060
Above 4x poverty line,0.3586206896551724,income,2060
Below poverty line,0.5936599423631124,income,2060
Middle (2-4x),0.45698924731182794,income,2060
